"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testRecipeOrder","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.BaseTest","Surefire test","com.coffeecart.ui.BaseTest","testRecipeOrder"
"","2","beforeSuite","Surefire suite","Thu May 08 09:36:07 GMT 2025","broken","Thu May 08 09:36:07 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","beforeSuite"
"","0","checkCorrectCardTitles","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","0","testRecipeIngredientsOrder","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testRecipeIngredientsOrder"
"","0","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","1","checkIncorrectCardIngredientsLength","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredientsLength"
"","0","testQuantities","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.BaseTest","Surefire test","com.coffeecart.ui.BaseTest","testQuantities"
"","0","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","1","VerifyEmail5","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","VerifyEmail5"
"","0","checkCorrectCardPrices","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","0","VerifyEmail","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","VerifyEmail"
"","0","testSuccessfulPaymentClearCart","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearCart"
"","0","testQuantities","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","testQuantities"
"","1","checkCardsLength","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCardsLength"
"","0","checkFullComplianceCardIngredients","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","0","testQuantities","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","testQuantities"
"","0","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","0","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","0","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","0","checkIncorrectCardTitles","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"","0","checkCorrectCardTitles","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","0","checkIncorrectCardPrices","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardPrices"
"","0","testSuccessfulPaymentClearCart","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearCart"
"","0","testRecipeIngredientsOrder","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","testRecipeIngredientsOrder"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","0","possibilityAddingMocha","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","checkIncorrectCardTitles","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"","0","VerifyEmail4","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","VerifyEmail4"
"","1","VerifyEmail6","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","VerifyEmail6"
"","0","testRecipeIngredientsOrder","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","testRecipeIngredientsOrder"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","0","possibilityAddingMocha","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","testRecipeOrder","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","testRecipeOrder"
"","0","testQuantities","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testQuantities"
"","0","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","0","checkCorrectCardTitles","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","0","checkIncorrectCardIngredients","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredients"
"","0","firstTest","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","firstTest"
"","0","checkCorrectCardTitles","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","1","checkIncorrectCardPrices","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardPrices"
"","1","testQuantities","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","testQuantities"
"","0","checkIncorrectCardIngredientsLength","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredientsLength"
"","1","firstTest","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","firstTest"
"","0","checkCorrectCardPrices","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","0","checkCorrectCardPrices","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","0","testRecipeOrder","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testRecipeOrder"
"","0","VerifyEmail3","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","VerifyEmail3"
"","0","firstTest","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","firstTest"
"","0","testSuccessfulPaymentClearCart","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearCart"
"","0","checkIncorrectCardIngredientsLength","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredientsLength"
"","0","testRecipeOrder","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","testRecipeOrder"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","1","possibilityAddingMocha","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","firstTest","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","firstTest"
"","0","checkCorrectCardPrices","Surefire suite","Thu May 08 09:36:08 GMT 2025","skipped","Thu May 08 09:36:08 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
